Business_Name,Parameter,Value,Notes
Car_Dealership,Starting_Capital_USD,"$170,000.00",Initial investment amount
Car_Dealership,Business_Size,Small,Small/Medium/Large_Enterprise
Car_Dealership,Market_Position,Established,Startup/Established/Market_Leader
Car_Dealership,Risk_Tolerance,Aggressive(10-20%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Car_Dealership,Volatility_Level,High,Low/Medium/High
Car_Dealership,Maximum_Drawdown,18%,Maximum acceptable loss percentage
Car_Dealership,Hedge_Instruments,Insurance/Diversification,Options/Futures/Diversification/Insurance
Car_Dealership,Hedge_Ratio,35%,Percentage of exposure hedged
Car_Dealership,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Car_Dealership,Revenue_Model,Cyclical,Seasonal/Cyclical/Growth/Defensive
Car_Dealership,Key_Drivers,"Tokunbo import volume, FX rate (NGN/USD), consumer credit access, fuel prices, port clearance costs",Main factors affecting performance
Car_Dealership,Market_Sensitivity,"High — tied to FX volatility, purchasing power, and import tariff policy",Sensitivity to economic conditions
Car_Dealership,Annual_Return_Goal,197.00%,Realistic annual return target
Car_Dealership,Growth_Phase,Early_Growth,Early_Growth/Maturity/Expansion
Car_Dealership,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Car_Dealership,Monthly_Running_Cost_Pct,2.5%,Monthly platform fee paid directly by client (2.5% of starting capital). Does not affect trading capital.
Car_Dealership,Monthly_Running_Cost_USD,"$4,250.00",Monthly fee in USD paid directly to platform (outside of broker account)
Car_Dealership,Annual_Running_Cost_USD,"$51,000.00","Total annual platform fee (12 x monthly). Paid separately, not deducted from trading capital."
Car_Dealership,Running_Cost_Breakdown,"Includes lot rental, staff salaries, vehicle inspection, import logistics, and platform deployment fees",Key cost line items included in the 8% monthly rate
Car_Dealership,Net_Capital_After_Year1_Cost,"$170,000.00",Trading capital remains unchanged. Running costs are paid separately by client and do not impact seed capital.
Car_Dealership,Break_Even_Return_Required,96.00%,Minimum gross return needed to cover annual running costs
,,,
Food_Company,Starting_Capital_USD,"$67,000.00",Initial investment amount
Food_Company,Business_Size,Small,Small/Medium/Large_Enterprise
Food_Company,Market_Position,Startup,Startup/Established/Market_Leader
Food_Company,Risk_Tolerance,Moderate(5-10%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Food_Company,Volatility_Level,Medium,Low/Medium/High
Food_Company,Maximum_Drawdown,12%,Maximum acceptable loss percentage
Food_Company,Hedge_Instruments,Diversification/Insurance,Options/Futures/Diversification/Insurance
Food_Company,Hedge_Ratio,40%,Percentage of exposure hedged
Food_Company,Hedge_Frequency,Monthly,Daily/Weekly/Monthly adjustments
Food_Company,Revenue_Model,Defensive,Seasonal/Cyclical/Growth/Defensive
Food_Company,Key_Drivers,"Raw material costs (flour, palm oil, packaging), logistics, consumer spending power, regulatory health compliance",Main factors affecting performance
Food_Company,Market_Sensitivity,Medium — food demand is inelastic but margins compress under inflation,Sensitivity to economic conditions
Food_Company,Annual_Return_Goal,185.33%,Realistic annual return target
Food_Company,Growth_Phase,Early_Growth,Early_Growth/Maturity/Expansion
Food_Company,Exit_Strategy,Long-term_Hold,Long-term_Hold/Periodic_Rebalancing
Food_Company,Monthly_Running_Cost_Pct,2.5%,Monthly platform fee paid directly by client (2.5% of starting capital). Does not affect trading capital.
Food_Company,Monthly_Running_Cost_USD,"$1,675.00",Monthly fee in USD paid directly to platform (outside of broker account)
Food_Company,Annual_Running_Cost_USD,"$20,100.00","Total annual platform fee (12 x monthly). Paid separately, not deducted from trading capital."
Food_Company,Running_Cost_Breakdown,"Covers production facility rent, raw material procurement cycle, staff wages, NAFDAC compliance costs, and system usage fees",Key cost line items included in the 8% monthly rate
Food_Company,Net_Capital_After_Year1_Cost,"$67,000.00",Trading capital remains unchanged. Running costs are paid separately by client and do not impact seed capital.
Food_Company,Break_Even_Return_Required,96.00%,Minimum gross return needed to cover annual running costs
,,,
Crypto_Whale,Starting_Capital_USD,"$2,450,000.00",Initial investment amount
Crypto_Whale,Business_Size,Large,Small/Medium/Large_Enterprise
Crypto_Whale,Market_Position,Market_Leader,Startup/Established/Market_Leader
Crypto_Whale,Risk_Tolerance,Aggressive(10-20%),Conservative(2-5%)/Moderate(5-10%)/Aggressive(10-20%)
Crypto_Whale,Volatility_Level,High,Low/Medium/High
Crypto_Whale,Maximum_Drawdown,20%,Maximum acceptable loss percentage
Crypto_Whale,Hedge_Instruments,Futures/Options/Diversification,Options/Futures/Diversification/Insurance
Crypto_Whale,Hedge_Ratio,25%,Percentage of exposure hedged
Crypto_Whale,Hedge_Frequency,Daily,Daily/Weekly/Monthly adjustments
Crypto_Whale,Revenue_Model,Growth,Seasonal/Cyclical/Growth/Defensive
Crypto_Whale,Key_Drivers,"BTC/ETH price cycles, altcoin season timing, on-chain liquidity, regulatory news, institutional inflows",Main factors affecting performance
